red_agent,yellow_agent,games,red_wins,yellow_wins,ties,red_win_rate,yellow_win_rate,tie_rate,avg_moves,elapsed_seconds
random,bad,100,100,0,0,1.0,0.0,0.0,19.94,0.494673958979547
random,heuristic,100,0,100,0,0.0,1.0,0.0,10.36,0.31136812502518296
random,mcts:100,100,2,98,0,0.02,0.98,0.0,13.26,29.776726000010967
random,mcts:500,100,0,100,0,0.0,1.0,0.0,12.12,134.86632712499704
bad,random,100,0,100,0,0.0,1.0,0.0,21.58,0.5784194170264527
bad,heuristic,100,0,100,0,0.0,1.0,0.0,8.0,0.4083839999511838
bad,mcts:100,100,0,100,0,0.0,1.0,0.0,11.82,28.154896417050622
bad,mcts:500,100,0,100,0,0.0,1.0,0.0,9.58,103.52091370790731
heuristic,random,100,100,0,0,1.0,0.0,0.0,7.44,0.23216791707091033
heuristic,bad,100,100,0,0,1.0,0.0,0.0,7.0,0.33769670804031193
heuristic,mcts:100,100,75,24,1,0.75,0.24,0.01,16.17,32.95785858295858
heuristic,mcts:500,100,14,86,0,0.14,0.86,0.0,25.34,236.53356333402917
mcts:100,random,100,100,0,0,1.0,0.0,0.0,10.64,26.543303000042215
mcts:100,bad,100,100,0,0,1.0,0.0,0.0,9.66,23.809992332942784
mcts:100,heuristic,100,55,45,0,0.55,0.45,0.0,18.71,41.982539041899145
mcts:100,mcts:500,100,18,81,1,0.18,0.81,0.01,26.3,321.16701408301014
mcts:500,random,100,100,0,0,1.0,0.0,0.0,9.8,111.88399000000209
mcts:500,bad,100,100,0,0,1.0,0.0,0.0,8.12,92.49406195897609
mcts:500,heuristic,100,92,7,1,0.92,0.07,0.01,16.04,163.0555710409535
mcts:500,mcts:100,100,88,8,4,0.88,0.08,0.04,21.04,283.0083249580348
