experiment,iterations,exploration_weight,rollout_policy,value_model,value_depth,games_per_side,total_games,mcts_wins,heuristic_wins,ties,mcts_win_rate,mcts_win_ci95,tie_rate,avg_moves,seconds_per_game,seconds_per_move,mcts_seconds_per_move,simulations_per_mcts_move
c-sweep,100,0.25,random,,-1,100,200,42,157,1,0.21,0.0564500416297455,0.005,15.29,0.3169605193583993,0.020701812464345496,0.041459520576909804,100
c-sweep,100,0.5,random,,-1,100,200,66,133,1,0.33,0.06516815786870149,0.005,18.21,0.3728268387215212,0.020442534200733355,0.04051967567460665,100
c-sweep,100,1.0,random,,-1,100,200,87,111,2,0.435,0.0687084143318706,0.01,19.03,0.4055852949817199,0.021282193632133274,0.04196559744037719,100
c-sweep,100,1.4142135623730951,random,,-1,100,200,65,134,1,0.325,0.06491344236750966,0.005,19.345,0.4075680808722973,0.021036520129361913,0.041706106504952524,100
c-sweep,100,2.0,random,,-1,100,200,78,122,0,0.39,0.06759869229504369,0.0,17.79,0.39666881247540003,0.02226793585463462,0.0440708317398041,100
c-sweep,100,4.0,random,,-1,100,200,53,146,1,0.265,0.061165661935435635,0.005,16.455,0.3526119660277618,0.02139993998598714,0.04269395010658102,100
c-sweep,500,0.25,random,,-1,100,200,106,93,1,0.53,0.06917161845728347,0.005,21.535,1.661304718554602,0.0771114924155331,0.15320992092287844,500
c-sweep,500,0.5,random,,-1,100,200,151,48,1,0.755,0.05960704488565089,0.005,21.265,1.8473687895887998,0.0868404708842007,0.1708856687383799,500
c-sweep,500,1.0,random,,-1,100,200,169,30,1,0.845,0.05015743015745524,0.005,20.12,1.8942622622963972,0.09411505347703446,0.1842873871474198,500
c-sweep,500,1.4142135623730951,random,,-1,100,200,177,22,1,0.885,0.04421418550646387,0.005,20.185,1.8651361266715685,0.09236989178788102,0.1805848507247965,500
c-sweep,500,2.0,random,,-1,100,200,166,34,0,0.83,0.05206004994235024,0.0,20.78,1.9122756756655872,0.0919924024998668,0.18040764679447785,500
c-sweep,500,4.0,random,,-1,100,200,143,55,2,0.715,0.06256284999902098,0.01,20.26,1.9036490320437587,0.0939289210394964,0.18515237552213648,500
